         vWind [m/s],         Adwen-5-132,         Adwen-8-180,       Haliade-6-150,       Senvion-5-126,    Senvion-6.15-152,      Siemens-10-200,     Siemens-3.6-107,     Siemens-3.6-120,       Siemens-4-120,       Siemens-6-154,       Siemens-7-154,       Vestas-12-210,         Vestas-3-90,      Vestas-3.3-112,     Vestas-3.45-112,        Vestas-8-164,     Vestas-8.25-164,     Vestas-8.3-164,
              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,             0.0000,
              1.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,             0.0000,
              2.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,              0.0000,             0.0000,
              3.0000,              0.0118,              0.0196,              0.0105,              0.0000,              0.0033,              0.0175,              0.0000,              0.0000,              0.0000,              0.0175,              0.0150,              0.0000,              0.0000,              0.0115,              0.0110,              0.0000,              0.0000,             0.0000,
              4.0000,              0.0376,              0.0517,              0.0391,              0.0244,              0.0250,              0.0473,              0.0314,              0.0395,              0.0355,              0.0473,              0.0406,              0.0164,              0.0257,              0.0276,              0.0264,              0.0150,              0.0145,             0.0145,
              5.0000,              0.0834,              0.1062,              0.0879,              0.0712,              0.0811,              0.0978,              0.0822,              0.1034,              0.0931,              0.0978,              0.0839,              0.0730,              0.0633,              0.0536,              0.0513,              0.0668,              0.0647,             0.0647,
              6.0000,              0.1540,              0.1811,              0.1598,              0.1326,              0.1602,              0.1768,              0.1453,              0.1827,              0.1645,              0.1768,              0.1516,              0.1499,              0.1177,              0.1158,              0.1107,              0.1371,              0.1330,             0.1330,
              7.0000,              0.2522,              0.2870,              0.2620,              0.2212,              0.2672,              0.2827,              0.2297,              0.2889,              0.2600,              0.2827,              0.2423,              0.2513,              0.1937,              0.2206,              0.2110,              0.2299,              0.2229,             0.2229,
              8.0000,              0.3838,              0.4256,              0.3996,              0.3306,              0.4075,              0.4260,              0.3219,              0.4049,              0.3644,              0.4260,              0.3651,              0.3859,              0.2953,              0.3639,              0.3481,              0.3531,              0.3423,             0.3423,
              9.0000,              0.5488,              0.6069,              0.5717,              0.4686,              0.5876,              0.6005,              0.4428,              0.5569,              0.5012,              0.6005,              0.5147,              0.5572,              0.4243,              0.5521,              0.5281,              0.5098,              0.4943,             0.4943,
             10.0000,              0.7310,              0.8022,              0.7673,              0.6362,              0.7940,              0.7915,              0.5931,              0.7459,              0.6713,              0.7915,              0.6759,              0.7646,              0.5700,              0.7685,              0.7351,              0.6995,              0.6783,             0.6783,
             11.0000,              0.8822,              0.9341,              0.9364,              0.8016,              0.9759,              0.9403,              0.7744,              0.9125,              0.8213,              0.9403,              0.8204,              0.9215,              0.7150,              0.9294,              0.8890,              0.8880,              0.8639,             0.8639,
             12.0000,              0.9664,              0.9851,              0.9949,              0.9440,              1.0000,              0.9910,              0.9125,              0.9681,              0.9404,              0.9910,              0.9247,              0.9738,              0.8480,              0.9839,              0.9630,              0.9836,              0.9743,             0.9743,
             13.0000,              0.9990,              1.0000,              1.0000,              0.9972,              1.0000,              0.9992,              0.9681,              0.9900,              0.9801,              0.9992,              0.9763,              1.0000,              0.9457,              0.9958,              0.9877,              0.9995,              0.9984,             0.9984,
             14.0000,              1.0088,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              0.9900,              1.0000,              0.9934,              1.0000,              0.9944,              1.0000,              0.9883,              0.9982,              1.0000,              1.0000,              1.0000,             1.0000,
             15.0000,              1.0120,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              0.9990,              1.0000,              0.9983,              1.0000,              1.0000,              1.0000,              1.0000,             1.0000,
             16.0000,              1.0120,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              0.9999,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,             1.0000,
             17.0000,              1.0120,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,             1.0000,
             18.0000,              1.0072,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,             1.0000,
             19.0000,              0.9976,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,             1.0000,
             20.0000,              0.9798,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,             1.0000,
             21.0000,              0.9540,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,              1.0000,             1.0000,
