         genZone,     cFix [£/kW],     cVar [£/kW],
          1.0000,         18.8600,         16.4300,
          2.0000,         17.7100,          7.6000,
          3.0000,         16.8600,         15.1500,
          4.0000,         16.8100,         15.1500,
          5.0000,         14.2800,         13.9600,
          6.0000,         14.0300,         13.8600,
          7.0000,         17.1900,         12.8200,
          8.0000,         11.4100,         12.8200,
          9.0000,          9.6000,         11.5800,
         10.0000,          9.8300,         13.1700,
         11.0000,          2.8300,         13.1700,
         12.0000,          4.0700,          7.5300,
         13.0000,          1.4600,          5.0900,
         14.0000,         -2.7100,          5.0900,
         15.0000,         -2.9700,          0.4200,
         16.0000,         -2.9700,         -1.3700,
         17.0000,         -2.9700,         -1.4200,
         18.0000,         -2.9700,         -0.8000,
         19.0000,         -2.9700,         -0.0800,
         20.0000,         -2.9700,         -5.8100,
         21.0000,         -2.9700,         -5.8700,
         22.0000,        -10.5200,          1.5900,
         23.0000,         -9.0300,          1.5900,
         24.0000,         -2.9700,          1.5900,
         25.0000,         -2.9700,         -3.3600,
         26.0000,         -2.9700,         -4.3800,
         27.0000,         -2.9700,         -8.3500,
