    year,      GBP,      EUR,
    2001,     74.6,     76.3,
    2002,     75.7,     77.9,
    2003,     76.7,     79.4,
    2004,     77.8,     81.0,
    2005,     79.4,     82.8,
    2006,     81.4,     84.6,
    2007,     83.3,     86.6,
    2008,     86.2,     89.7,
    2009,     87.9,     90.6,
    2010,     90.1,     92.5,
    2011,     93.6,     95.3,
    2012,     96.0,     97.9,
    2013,     98.2,     99.4,
    2014,     99.6,     99.9,
    2015,    100.0,    100.0,
    2016,    101.0,    100.3,
    2017,    103.6,    101.9,
    2018,    106.0,    103.9,
    2019,    107.8,    105.4,
